month,WorkDay,unique_carrier,dest_city_name,dephrs,arrhrs,schduration,delay
8,WEEKEND,MQ,Greer,9,12,140,No Delay
9,Weekday,AA,Tucson,19,19,135,No Delay
8,WEEKEND,AA,Miami,8,12,175,No Delay
11,Weekday,MQ,Abilene,19,20,50,No Delay
12,Weekday,AA,Salt,18,20,170,No Delay
11,Weekday,AA,Honolulu,13,17,490,No Delay
12,WEEKEND,AA,Pittsburgh,9,13,155,No Delay
9,WEEKEND,AA,New,18,19,85,No Delay
12,Weekday,AA,Phoenix,10,12,160,No Delay
11,PreHoliday,AA,New,18,23,195,Delay
7,Weekday,DL,Detroit,14,18,164,No Delay
11,WEEKEND,AA,San,15,16,190,Delay
4,Weekday,AA,Kansas,15,16,90,Delay
11,Weekday,MQ,Peoria,20,22,115,No Delay
9,Weekday,EV,Killeen,17,18,45,No Delay
7,Weekday,MQ,Cincinnati,18,21,135,No Delay
4,WEEKEND,AA,Philadelphia,6,10,180,No Delay
4,Weekday,AA,Boston,19,23,209,No Delay
1,PreHoliday,AA,Detroit,20,0,155,No Delay
11,Weekday,AA,Mission/McAllen/Edinburg,19,20,90,No Delay
11,WEEKEND,AA,Austin,10,11,60,No Delay
7,WEEKEND,EV,Brownsville,16,18,85,Delay
9,Weekday,UA,San,13,15,231,No Delay
2,WEEKEND,AA,Oklahoma,21,21,50,No Delay
6,WEEKEND,MQ,Pensacola,7,9,105,No Delay
3,Weekday,MQ,Fayetteville,8,9,65,No Delay
8,Weekday,OO,Houston,16,17,71,No Delay
4,Weekday,AA,Phoenix,10,10,150,No Delay
8,WEEKEND,OO,Los,20,21,206,Delay
2,Weekday,AA,Albuquerque,20,20,115,Delay
11,WEEKEND,AA,Los,13,14,190,No Delay
2,Weekday,AA,Chicago,19,21,130,Delay
5,PreHoliday,AA,Fort,10,13,150,No Delay
4,WEEKEND,AA,Albuquerque,15,16,105,No Delay
8,WEEKEND,AA,San,22,23,60,No Delay
5,Weekday,AA,Oklahoma,14,15,55,Delay
8,WEEKEND,AA,Las,16,17,170,No Delay
11,PreHoliday,VX,Los,17,19,205,No Delay
7,Weekday,MQ,Charleston,8,11,155,Delay
2,Weekday,MQ,Killeen,11,12,50,Delay
