month,WorkDay,unique_carrier,dest_city_name,dephrs,arrhrs,schduration,temperature_f,visibility_mph,conditions,delay
9,WEEKEND,AA,New,13,17,205,66.9,10,Clear,No Delay
3,Weekday,AA,Phoenix,10,10,165,37,10,Clear,No Delay
2,Weekday,AA,New,10,14,205,59,0.5,Overcast,No Delay
11,WEEKEND,AA,New,18,23,195,57,10,'Partly Cloudy',No Delay
5,Weekday,EV,Cleveland,19,23,149,51.1,10,Overcast,Delay
8,Weekday,AA,Honolulu,13,16,485,82,10,'Mostly Cloudy',No Delay
10,Weekday,AA,Detroit,17,21,155,71.1,10,Clear,No Delay
2,Weekday,AA,Hartford,7,11,200,45,10,'Light Rain',No Delay
7,Weekday,AA,Los,10,11,190,78.1,10,'Scattered Clouds',Delay
1,Weekday,MQ,Milwaukee,7,9,140,32,10,'Mostly Cloudy',No Delay
3,Weekday,AA,Wichita,13,14,75,48,10,'Partly Cloudy',Delay
12,WEEKEND,MQ,Texarkana,20,21,50,69.1,10,Overcast,No Delay
11,WEEKEND,AA,Nashville,9,11,110,75.9,10,'Mostly Cloudy',Delay
8,WEEKEND,AA,Denver,13,14,120,84.9,10,'Partly Cloudy',No Delay
8,Weekday,AA,New,15,19,220,87.1,10,'Scattered Clouds',No Delay
5,Weekday,AA,Miami,8,12,170,64.9,10,'Scattered Clouds',No Delay
8,Weekday,AA,Portland,19,21,235,90,10,Overcast,Delay
7,Weekday,AA,Tucson,12,12,135,82,10,'Scattered Clouds',No Delay
3,Weekday,MQ,Monroe,19,20,65,71.1,10,'Partly Cloudy',No Delay
9,PreHoliday,MQ,Peoria,10,11,110,81,10,'Partly Cloudy',No Delay
12,Weekday,AA,Seattle,18,20,260,66.9,9,'Partly Cloudy',No Delay
8,Weekday,AA,Washington,15,19,170,93.9,10,'Partly Cloudy',Delay
4,Weekday,AA,Minneapolis,15,17,145,78.8,10,'Scattered Clouds',No Delay
1,Weekday,EV,Cleveland,14,18,155,73,10,Overcast,No Delay
11,Weekday,MQ,Wichita,20,21,45,64,10,'Mostly Cloudy',No Delay
6,Weekday,AA,Washington,18,21,170,95,10,'Partly Cloudy',Delay
10,WEEKEND,AA,Little,16,17,70,66.9,10,'Mostly Cloudy',No Delay
10,PreHoliday,B6,Boston,17,21,216,73.4,2.5,'Light Drizzle',No Delay
2,WEEKEND,MQ,Laredo,17,18,80,64.9,10,'Mostly Cloudy',No Delay
11,Weekday,AA,Tucson,18,19,135,69.1,10,'Mostly Cloudy',No Delay
3,Weekday,AA,Little,21,22,65,69.1,10,Overcast,No Delay
6,Weekday,MQ,Waco,17,18,35,95,10,Clear,No Delay
11,PreHoliday,AA,Kansas,15,16,90,42.1,10,Clear,No Delay
2,Weekday,AA,Wichita,13,14,75,45,10,'Mostly Cloudy',No Delay
12,Weekday,AA,West,9,13,155,39.9,10,Clear,Delay
7,Weekday,AA,Des,20,21,105,100,10,'Scattered Clouds',No Delay
